Month,Price,Change,Production,year,Weather,oilPrice,date,goldPrice
5,261.48,0.0,60117,2009,64.7,57.3,2009-05-01,926.855
6,256.64,-1.85,60117,2009,74.8,68.61,2009-06-01,947.807
7,224.85,-12.39,60117,2009,73.5,64.44,2009-07-01,934.272
8,210.37,-6.44,60117,2009,74.0,72.51,2009-08-01,949.5
9,191.09,-9.16,60117,2009,67.0,67.65,2009-09-01,996.443
10,198.85,4.06,60117,2009,50.6,72.77,2009-10-01,1043.511
11,211.04,6.13,60117,2009,49.9,76.66,2009-11-01,1126.119
12,206.25,-2.27,60117,2009,28.5,74.46,2009-12-01,1135.012
1,201.19,-2.45,58868,2010,23.8,76.17,2010-01-01,1119.575
2,194.0,-3.57,58868,2010,27.3,73.75,2010-02-01,1095.8
3,191.08,-1.51,58868,2010,45.5,78.83,2010-03-01,1115.554
4,192.87,0.94,58868,2010,60.4,84.82,2010-04-01,1148.475
5,181.61,-5.84,58868,2010,64.0,75.95,2010-05-01,1204.321
6,157.67,-13.18,58868,2010,77.6,74.76,2010-06-01,1232.382
7,195.82,24.2,58868,2010,80.4,75.58,2010-07-01,1196.0
8,246.25,25.75,58868,2010,81.2,77.04,2010-08-01,1213.464
9,271.67,10.32,58868,2010,69.2,77.84,2010-09-01,1271.461
10,270.23,-0.53,58868,2010,58.6,82.67,2010-10-01,1343.19
11,274.08,1.42,58868,2010,44.7,85.28,2010-11-01,1371.784
12,306.52,11.84,58868,2010,29.3,91.45,2010-12-01,1393.512
1,326.56,6.54,54244,2011,22.8,96.52,2011-01-01,1360.475
2,348.12,6.6,54244,2011,29.5,103.72,2011-02-01,1371.313
3,316.75,-9.01,54244,2011,43.5,114.64,2011-03-01,1422.848
4,336.12,6.12,54244,2011,55.8,123.26,2011-04-01,1474.431
5,355.28,5.7,54244,2011,63.0,114.99,2011-05-01,1512.188
6,326.43,-8.12,54244,2011,76.0,113.83,2011-06-01,1528.38
7,303.88,-6.91,54244,2011,83.2,116.97,2011-07-01,1568.526
8,327.07,7.63,54244,2011,78.1,110.22,2011-08-01,1759.5
9,315.92,-3.41,54244,2011,64.8,112.83,2011-09-01,1780.648
10,289.01,-8.52,54244,2011,58.3,109.55,2011-10-01,1667.893
11,281.01,-2.77,54244,2011,45.4,110.77,2011-11-01,1735.977
12,269.03,-4.26,54244,2011,35.9,107.87,2011-12-01,1652.725
1,274.89,2.18,61298,2012,35.1,110.69,2012-01-01,1656.095
2,277.77,1.05,61298,2012,38.1,119.33,2012-02-01,1743.095
3,283.88,2.2,61298,2012,58.4,125.45,2012-03-01,1675.057
4,266.32,-6.19,61298,2012,59.0,119.75,2012-04-01,1648.539
5,264.36,-0.74,61298,2012,69.6,110.34,2012-05-01,1585.114
6,276.19,4.47,61298,2012,77.3,95.16,2012-06-01,1595.632
7,345.69,25.16,61298,2012,85.2,102.62,2012-07-01,1592.784
8,349.4,1.07,61298,2012,76.9,113.36,2012-08-01,1625.682
9,353.42,1.15,61298,2012,67.5,112.86,2012-09-01,1741.925
10,358.2,1.35,61298,2012,54.7,111.71,2012-10-01,1746.348
11,360.82,0.73,61298,2012,46.8,109.06,2012-11-01,1724.352
12,347.96,-3.56,61298,2012,35.9,109.49,2012-12-01,1687.342
1,335.47,-3.59,58105,2013,32.8,112.96,2013-01-01,1671.886
2,318.94,-4.93,58105,2013,32.4,116.05,2013-02-01,1630.688
3,309.75,-2.88,58105,2013,37.8,108.47,2013-03-01,1591.013
4,308.28,-0.47,58105,2013,49.9,102.25,2013-04-01,1485.905
5,319.67,3.69,58105,2013,62.7,102.56,2013-05-01,1416.143
6,313.42,-1.96,58105,2013,73.4,102.92,2013-06-01,1342.7
7,304.61,-2.81,58105,2013,76.6,107.93,2013-07-01,1284.348
8,305.34,0.24,58105,2013,75.9,111.28,2013-08-01,1345.048
9,307.51,0.71,58105,2013,71.5,111.6,2013-09-01,1348.464
10,325.69,5.91,58105,2013,55.1,109.08,2013-10-01,1314.402
11,306.75,-5.82,58105,2013,40.9,107.79,2013-11-01,1277.417
12,291.56,-4.95,58105,2013,28.1,110.76,2013-12-01,1221.588
1,275.58,-5.48,55147,2014,24.5,108.12,2014-01-01,1243.068
2,292.11,6.0,55147,2014,24.7,108.9,2014-02-01,1298.713
3,323.71,10.82,55147,2014,40.1,107.48,2014-03-01,1336.56
4,324.81,0.34,55147,2014,53.6,107.76,2014-04-01,1299.175
5,334.73,3.05,55147,2014,66.0,109.54,2014-05-01,1288.913
6,306.44,-8.45,55147,2014,74.0,111.8,2014-06-01,1277.857
7,280.35,-8.51,55147,2014,73.9,106.77,2014-07-01,1312.989
8,263.45,-6.03,55147,2014,77.5,101.61,2014-08-01,1297.005
9,243.61,-7.53,55147,2014,66.9,97.09,2014-09-01,1241.33
10,245.45,0.76,55147,2014,57.6,87.43,2014-10-01,1223.565
11,258.68,5.39,55147,2014,37.5,79.44,2014-11-01,1176.413
12,269.7,4.26,55147,2014,34.3,62.34,2014-12-01,1200.44
1,248.39,-7.9,56117,2015,31.2,47.76,2015-01-01,1249.333
2,237.0,-4.59,56117,2015,25.2,58.1,2015-02-01,1231.1
3,230.75,-2.64,56117,2015,46.7,55.89,2015-03-01,1180.636
4,223.4,-3.18,56117,2015,56.8,59.52,2015-04-01,1198.253
5,215.32,-3.62,56117,2015,63.5,64.08,2015-05-01,1197.684
6,209.81,-2.56,56117,2015,74.8,61.48,2015-06-01,1182.248
7,197.31,-5.96,56117,2015,77.5,56.56,2015-07-01,1131.58
8,179.68,-8.94,56117,2015,74.5,46.52,2015-08-01,1117.525
9,172.7,-3.88,56117,2015,72.9,47.62,2015-09-01,1124.905
10,172.71,0.01,56117,2015,58.4,48.43,2015-10-01,1157.123
11,177.1,2.54,56117,2015,48.2,44.27,2015-11-01,1088.388
12,189.23,6.85,56117,2015,39.7,38.01,2015-12-01,1068.317
1,193.27,2.13,62832,2016,29.6,30.7,2016-01-01,1095.655
2,187.03,-3.23,62832,2016,39.1,32.18,2016-02-01,1194.893
3,191.07,2.16,62832,2016,50.5,38.21,2016-03-01,1246.312
4,187.39,-1.93,62832,2016,57.1,41.58,2016-04-01,1241.452
5,171.96,-8.23,62832,2016,62.7,46.74,2016-05-01,1259.755
6,173.06,0.64,62832,2016,78.6,48.25,2016-06-01,1273.58
7,151.75,-12.31,62832,2016,78.6,44.95,2016-07-01,1337.429
8,149.18,-1.69,62832,2016,77.0,45.84,2016-08-01,1340.861
9,150.65,0.99,62832,2016,71.4,46.57,2016-09-01,1326.618
10,151.75,0.73,62832,2016,61.8,49.52,2016-10-01,1268.929
11,150.65,-0.72,62832,2016,51.2,44.73,2016-11-01,1240.293
12,141.83,-5.85,62832,2016,30.1,53.31,2016-12-01,1152.165
1,153.22,8.03,47380,2017,32.3,54.58,2017-01-01,1192.648
2,155.06,1.2,47380,2017,43.6,54.87,2017-02-01,1233.39
3,154.32,-0.48,47380,2017,48.0,51.59,2017-03-01,1231.063
4,166.08,7.62,47380,2017,57.0,52.31,2017-04-01,1267.15
5,180.41,8.63,47380,2017,63.8,50.33,2017-05-01,1245.25
6,189.6,5.09,47380,2017,74.6,46.37,2017-06-01,1261.277
7,202.46,6.78,47380,2017,79.1,48.48,2017-07-01,1235.1
8,171.23,-15.43,47380,2017,71.8,51.7,2017-08-01,1281.72
9,178.57,4.29,47380,2017,71.1,56.15,2017-09-01,1317.045
10,175.63,-1.65,47380,2017,57.7,57.51,2017-10-01,1280.677
11,179.68,2.31,47380,2017,44.8,62.71,2017-11-01,1283.189
12,184.09,2.45,47380,2017,32.1,64.37,2017-12-01,1265.674
1,192.17,4.39,51287,2018,28.4,69.08,2018-01-01,1332.809
2,192.17,0.0,51287,2018,32.3,65.32,2018-02-01,1333.775
3,192.17,0.0,51287,2018,43.6,66.02,2018-03-01,1325.562
4,213.85,11.28,51287,2018,47.4,72.11,2018-04-01,1335.332
5,213.85,0.0,51287,2018,73.4,76.98,2018-05-01,1303.618
6,219.36,2.58,51287,2018,77.8,74.41,2018-06-01,1282.126
7,218.26,-0.5,51287,2018,78.9,74.25,2018-07-01,1238.064
8,236.63,8.42,51287,2018,77.3,72.53,2018-08-01,1201.859
9,212.38,-10.25,51287,2018,70.6,78.89,2018-09-01,1199.198
10,213.48,0.52,51287,2018,55.5,81.03,2018-10-01,1214.726
11,203.56,-4.65,51287,2018,35.6,64.75,2018-11-01,1221.275
12,211.28,3.79,51287,2018,34.8,57.36,2018-12-01,1249.887
1,209.81,-0.7,51624,2019,28.1,59.41,2019-01-01,1291.63
2,218.99,4.38,51624,2019,27.6,63.96,2019-02-01,1319.755
3,205.76,-6.04,51624,2019,40.2,66.14,2019-03-01,1302.286
4,199.52,-3.03,51624,2019,56.5,71.23,2019-04-01,1287.65
